Name,Phone Number,Buyer/Channel Partner/Enquiry/Site Visit,Role
Hari Bhat,8051385763,Enquiry,UNKNOWN
Shreya Chatterjee,9502456442,Buyer,BUYER
Lakshmi Gupta,7170871214,Channel Partner,CHANNEL_PARTNER
Sai Mukherjee,9023767559,Channel Partner,CHANNEL_PARTNER
Azhagu Naidu,7069806808,Buyer,BUYER
Anand Verma,6630876020,Buyer,BUYER
Meera Bhat,7263207356,Channel Partner,CHANNEL_PARTNER
Vikram Balaji,7559959846,Buyer,BUYER
Ramesh Chauhan,9851882729,Channel Partner,CHANNEL_PARTNER
Pooja Joshi,6349229160,Buyer,BUYER
Myra Menon,9125117661,Site Visit,SITE_VISIT
Aadhya Bose,7074553619,Enquiry,UNKNOWN
Arjun Roy,8701177161,Site Visit,SITE_VISIT
Myra Ramaswamy,7130604079,Buyer,BUYER
Aditya Bhat,9248354727,Channel Partner,CHANNEL_PARTNER
Gopal Pillai,6769266243,Enquiry,UNKNOWN
Aarav Jain,8750072831,Enquiry,UNKNOWN
Aadhya Bhat,9487703228,Channel Partner,CHANNEL_PARTNER
Karthik Saxena,7128117889,Buyer,BUYER
Ishaan Mehta,6454048738,Channel Partner,CHANNEL_PARTNER
Hari Malhotra,6581177624,Site Visit,SITE_VISIT
Ramesh Ramaswamy,9671621878,Enquiry,UNKNOWN
Myra Kapoor,8887967512,Site Visit,SITE_VISIT
Gopal Sharma,6693666476,Site Visit,SITE_VISIT
Rohan Bhat,9735495313,Enquiry,UNKNOWN
Diya Krishnan,6974189446,Enquiry,UNKNOWN
Dinesh Sharma,9765000380,Site Visit,SITE_VISIT
Aditya Yadav,7809889433,Channel Partner,CHANNEL_PARTNER
Navaneethan Bose,6624494538,Buyer,BUYER
Janani Pillai,8094270803,Buyer,BUYER
Ananya Krishnan,8961368641,Buyer,BUYER
Aadhya Balaji,9898660982,Enquiry,UNKNOWN
Ananya Malhotra,9426820552,Site Visit,SITE_VISIT
Kavya Balaji,8061402525,Enquiry,UNKNOWN
Kavya Ramaswamy,9368338891,Enquiry,UNKNOWN
Reyansh Pillai,6627955944,Site Visit,SITE_VISIT
Diya Nair,6484006529,Site Visit,SITE_VISIT
Diya Patel,8284835410,Buyer,BUYER
Divya Sundaram,9021322936,Buyer,BUYER
Ayaan Bose,9264243166,Buyer,BUYER
Pranav Kumar,6022768040,Buyer,BUYER
Tanvi Iyer,9989569477,Channel Partner,CHANNEL_PARTNER
Akash Tripathi,7189440114,Enquiry,UNKNOWN
